drug_name,dosage,frequency,use,side_effects,substitutes,chemical_class,therapeutic_class,habit_forming,warnings
Augmentin,625 mg,3 times daily,Bacterial infections;Sinusitis;Pneumonia,Nausea;Diarrhea;Skin rash,Amoxicillin + Clavulanic Acid,Penicillin with beta-lactamase inhibitor,Antibiotic,false,Take with food;Not for patients with penicillin allergy
Cataflam,50 mg,3 times daily,Pain;Inflammation;Arthritis,Upset stomach;Ulcers;Increased bleeding risk,Voltaren;Diclofenac Potassium,Acetic acid derivative,NSAID,false,Take with food;Short-term use recommended;Avoid in peptic ulcer disease
Panadol,500 mg,Every 4-6 hours,Pain;Fever,Liver damage (in overdose);Skin rash,Paracetamol;Acamol,Para-aminophenol derivative,Analgesic-Antipyretic,false,Avoid alcohol;Do not exceed maximum dose
Brufen,400 mg,3 times daily,Pain;Inflammation;Fever,Upset stomach;Heartburn;Kidney damage,Brufenact;Ibuprofen,Propionic acid derivative,NSAID,false,Take with food;Avoid in peptic ulcer disease
Glucophage,500 mg,2 times daily,Type 2 diabetes,Nausea;Diarrhea;Metallic taste,Metformin;Cidophage,Biguanide,Antidiabetic,false,Contraindicated in renal impairment;Take with food
Daonil,5 mg,Once daily,Type 2 diabetes,Low blood sugar;Weight gain;Upset stomach,Glibenclamide;Euglucon,Sulfonylurea,Antidiabetic,false,High risk of hypoglycemia;Take with breakfast
Lantus,10 units,Once daily at bedtime,Type 1 and Type 2 diabetes,Low blood sugar;Weight gain;Injection site reactions,Insulin Glargine;Basaglar,Insulin analogue,Antidiabetic,false,Do not mix with other insulins;Rotate injection sites
Concor,5 mg,Once daily,High blood pressure;Angina;Heart failure,Slow heart rate;Fatigue;Cold hands and feet,Bisoprolol;Cardicor,Selective beta-1 blocker,Antihypertensive,false,Do not stop abruptly;Caution in asthma
Norvasc,5 mg,Once daily,High blood pressure;Angina,Swelling of ankles;Headache;Flushing,Amlodipine;Amlopin,Dihydropyridine calcium channel blocker,Antihypertensive,false,Swelling is common;Do not stop abruptly
Coversyl,5 mg,Once daily,High blood pressure;Heart failure,Dry cough;Low blood pressure;High potassium levels,Perindopril;Prestarium,ACE inhibitor,Antihypertensive,false,Contraindicated in pregnancy;Monitor renal function
Lasix,40 mg,Once daily,Edema;Heart failure;High blood pressure,Low potassium;Dehydration;Dizziness,Furosemide;Fruse,Loop diuretic,Diuretic,false,Monitor electrolytes;Can cause dehydration;Take in morning
Losec,20 mg,Once daily,Peptic ulcer;GERD;Acid reflux,Headache;Diarrhea;Nausea,Omeprazole;Prazole,Benzimidazole,Proton Pump Inhibitor,false,Take before meals;Long-term use may require monitoring
Zantac,150 mg,2 times daily,Peptic ulcer;GERD;Acid reflux,Headache;Constipation;Dizziness,Ranitidine;Azantac,H2 receptor antagonist,Antacid;Antiulcer,false,May interact with other drugs;Dose adjustment in renal impairment
Motilium,10 mg,3 times daily,Nausea;Vomiting;Bloating,Dry mouth;Headache;Breast enlargement,Domperidone;Domet,Benzimidazole,Dopamine antagonist,false,Not for heart patients;Use with caution
Ventolin Inhaler,100 mcg,As needed for wheezing,Asthma;Bronchospasm,Tremor;Headache;Palpitations,Salbutamol;Asthalin,Short-acting beta-2 agonist,Bronchodilator,false,Not for frequent use;Overuse can be dangerous;Rinse mouth after use
Singulair,10 mg,Once at night,Asthma;Allergic rhinitis,Headache;Agitation;Sleep disorders,Montelukast;Montek,Leukotriene receptor antagonist,Antiasthmatic,false,Monitor for mood changes;Not for acute asthma attacks
Zyrtec,10 mg,Once daily,Allergies;Hay fever;Urticaria,Drowsiness;Dry mouth;Headache,Cetirizine;Cetrizine,Piperazine derivative,Antihistamine,false,May cause drowsiness;Avoid alcohol;Caution when driving
Tramal,50 mg,Every 4-6 hours,Moderate to severe pain,Nausea;Dizziness;Drowsiness;Risk of dependence,Tramadol;Contramal,Opioid agonist,Analgesic,true,Risk of dependence and abuse;Avoid alcohol;Do not drive
Arthrotec,50 mg,2 times daily,Arthritis pain with gastric protection,Upset stomach;Diarrhea;Ulcer risk reduced,Diclofenac + Misoprostol,NSAID + Prostaglandin,NSAID,false,Take with food;Not for use in pregnancy
Voltaren Emulgel,1%,Apply 3 times daily,Local pain;Inflammation;Arthritis,Skin irritation;Redness;Itching,Diclofenac Diethylamine gel,NSAID,Topical NSAID,false,For external use only;Do not apply on broken skin
Betnovate Cream,0.1%,Apply 1-2 times daily,Inflammatory skin conditions (eczema, psoriasis),Skin thinning;Stretch marks;Burning,Betamethasone Valerate;Celtone,Corticosteroid,Topical Corticosteroid,false,Use sparingly;Do not use on face long-term
Canesten Cream,1%,Apply 2 times daily,Fungal skin infections (ringworm, athlete's foot),Mild burning;Itching;Redness,Clotrimazole;Clocip,Imidazole antifungal,Topical Antifungal,false,Continue treatment after symptoms disappear
Daktarin Cream,2%,Apply 2 times daily,Fungal skin infections;Vaginal candidiasis,Itching;Burning;Irritation,Miconazole Nitrate;Micatin,Imidazole antifungal,Topical Antifungal,false,Complete full course;For external use only
Xenical,120 mg,3 times daily with meals,Obesity;Weight management,Oily spotting;Flatulence;Fecal urgency,Orlistat;Alli,Gastrointestinal lipase inhibitor,Antiobesity,false,Follow a low-fat diet;Take a multivitamin
Flagyl,500 mg,3 times daily,Parasitic infections;Anaerobic infections;Amebiasis,Nausea;Metallic taste;Dark urine,Metronidazole;Entozole,Nitroimidazole antibiotic,Antibiotic;Antiprotozoal,false,Avoid alcohol during and after treatment
Zentel,400 mg,Once daily (may repeat),Threadworm;Roundworm;Hydatid disease,Abdominal pain;Nausea;Headache,Albendazole;Albenza,Benzimidazole,Anthelmintic,false,May need repeated doses;Take with fatty meal
Fero-Grad,325 mg,Once daily,Iron deficiency anemia,Constipation;Black stools;Upset stomach,Ferrous Sulfate;Ironorm,Iron Salt,Iron Supplement,false,Take on empty stomach;May cause constipation
Supradyn,1 tablet,Once daily,Nutritional supplementation,Allergic reactions;Upset stomach,Multivitamin;Centrum,Vitamin and Mineral Combination,Vitamin Supplement,false,Not a substitute for a balanced diet
D-Cure,1000 IU,Once daily,Vitamin D deficiency;Bone health,Nausea;Constipation;Weakness,Vitamin D3;Vidrop,Secosteroid,Vitamin Supplement,false,Monitor levels in deficiency;Take with fatty meal
Cortancyl,5 mg,Dose varies by condition,Inflammation;Allergies;Autoimmune disorders,Increased appetite;Weight gain;Mood changes,Prednisolone;Deltacortene,Corticosteroid,Corticosteroid,false,Do not stop abruptly;Take with food
Nizoral Shampoo,2%,Use 2 times a week,Dandruff;Seborrheic dermatitis,Hair loss (temporary);Dryness;Irritation,Ketoconazole;Ketzol,Imidazole antifungal,Antifungal Shampoo,false,Avoid contact with eyes;Leave on scalp for 5 minutes
Benzac AC 5%,5%,Apply once daily,Acne,Dryness;Redness;Peeling;Bleaching,Benzoyl Peroxide;Acnederm,Organic peroxide,Anti-acne,false,Start with lower strength;May cause initial breakout
Differin Gel,0.1%,Apply once at night,Acne,Skin dryness;Redness;Peeling;Irritation,Adapalene;Adaplex,Retinoid,Anti-acne,false,Use pea-sized amount;Avoid sun;Use sunscreen
Amoxicillin,500 mg,3 times daily,Bacterial infections;Respiratory tract infections,Diarrhea;Nausea;Skin rash,Amoxil;Amoclan,Penicillin,Antibiotic,false,Complete the full course;Not for viral infections
Ciprofloxacin,500 mg,2 times daily,Urinary tract infections;Prostatitis,Nausea;Diarrhea;Tendonitis,Ciproxin;Floxacin,Fluoroquinolone,Antibiotic,false,Avoid in children;May interact with theophylline
Azithromycin,500 mg,Once daily for 3 days,Respiratory infections;Skin infections,Diarrhea;Nausea;Abdominal pain,Zithromax;Azitro,Macrolide,Antibiotic,false,Take on an empty stomach;Can prolong QT interval
Paracetamol,500 mg,Every 4-6 hours,Pain;Fever,Liver damage (in overdose),Acetaminophen;Paramol,Para-aminophenol derivative,Analgesic-Antipyretic,false,Avoid alcohol;Do not exceed maximum dose
Ibuprofen,400 mg,3 times daily,Pain;Inflammation;Fever,Upset stomach;Heartburn;Kidney damage,Advil;Ibugesic,Propionic acid derivative,NSAID,false,Take with food;Avoid in peptic ulcer disease
Aspirin,100 mg,Once daily,Prevention of heart attacks;Pain,Upset stomach;Increased bleeding risk,ASA;Aspicot,Salicylate,Antiplatelet;NSAID,false,Do not give to children with viral infections
Metformin,500 mg,2 times daily,Type 2 diabetes,Nausea;Diarrhea;Metallic taste,Glucophage;Glycomet,Biguanide,Antidiabetic,false,Contraindicated in renal impairment
Glibenclamide,5 mg,Once daily,Type 2 diabetes,Low blood sugar;Weight gain,Daonil;Gliben,Sulfonylurea,Antidiabetic,false,High risk of hypoglycemia;Take with food
Insulin Glargine,10 units,Once daily at bedtime,Type 1 and Type 2 diabetes,Low blood sugar;Weight gain,Lantus;Basaglar,Insulin analogue,Antidiabetic,false,Do not mix with other insulins;Rotate injection sites
Atorvastatin,20 mg,Once at night,High cholesterol;Prevention of cardiovascular events,Muscle pain;Liver enzyme elevation,Lipitor;Torvast,HMG-CoA reductase inhibitor,Statin,false,Report unexplained muscle pain;Avoid grapefruit juice
Amlodipine,5 mg,Once daily,High blood pressure;Angina,Swelling of ankles;Headache;Flushing,Amvasc;Amlocard,Dihydropyridine calcium channel blocker,Antihypertensive,false,Swelling is common;Do not stop abruptly
Lisinopril,10 mg,Once daily,High blood pressure;Heart failure,Dry cough;Low blood pressure;High potassium levels,Zestril;Prinivil,ACE inhibitor,Antihypertensive,false,Contraindicated in pregnancy;Monitor renal function
Losartan,50 mg,Once daily,High blood pressure;Diabetic kidney disease,Dizziness;High potassium levels,Cozaar;Losacand,Angiotensin II receptor blocker,Antihypertensive,false,Contraindicated in pregnancy;Monitor potassium levels
Hydrochlorothiazide,25 mg,Once daily,High blood pressure;Edema,Low potassium;Increased blood sugar,Esidrex;Hydrazide,Thiazide diuretic,Antihypertensive;Diuretic,false,Monitor electrolytes;Can cause dehydration
Omeprazole,20 mg,Once daily,Peptic ulcer;GERD;Acid reflux,Headache;Diarrhea;Nausea,Losec;Prazole,Benzimidazole,Proton Pump Inhibitor,false,Take before meals;Long-term use may increase fracture risk
Pantoprazole,40 mg,Once daily,Peptic ulcer;GERD;Zollinger-Ellison syndrome,Headache;Diarrhea;Nausea,Controloc;Pantoloc,Benzimidazole,Proton Pump Inhibitor,false,Take before food;Long-term use requires monitoring
Ranitidine,150 mg,2 times daily,Peptic ulcer;GERD;Acid reflux,Headache;Constipation;Dizziness,Zantac;Azantac,H2 receptor antagonist,Antacid;Antiulcer,false,May interact with other drugs;Dose adjustment in renal impairment
Esomeprazole,40 mg,Once daily,Severe GERD;Erosive esophagitis,Headache;Diarrhea;Nausea,Nexium;Esotrax,Benzimidazole,Proton Pump Inhibitor,false,Take at least one hour before meals;Not for immediate symptom relief
Diclofenac Sodium,50 mg,2-3 times daily,Pain;Inflammation;Arthritis,Upset stomach;Ulcers;Increased bleeding risk,Voltaren;Cataflam,Acetic acid derivative,NSAID,false,Take with food;Short-term use recommended;Avoid in peptic ulcer disease
Celecoxib,200 mg,Once daily,Osteoarthritis;Rheumatoid arthritis;Pain,Upset stomach;Increased cardiovascular risk,Celebrex;Celcox,COX-2 inhibitor,NSAID,false,Contraindicated in sulfa allergy;Caution in heart disease
Metoclopramide,10 mg,3 times daily,Nausea;Vomiting;Gastroparesis,Drowsiness;Restlessness;Muscle spasms,Primperan;Emetisan,Benzamide,Dopamine antagonist,false,Short-term use only;Risk of extrapyramidal symptoms
Domperidone,10 mg,3 times daily,Nausea;Vomiting;Bloating,Dry mouth;Headache;Breast enlargement,Motilium;Domet,Benzimidazole,Dopamine antagonist,false,Not for heart patients;Use with caution
Simethicone,125 mg,After meals,Gas;Bloating;Flatulence,None known,Mylicon;Gas-X,Siloxane,Antiflatulent,false,Safe in pregnancy and breastfeeding;Not for absorption
Lactulose,15 ml,2 times daily,Constipation;Hepatic encephalopathy,Bloating;Cramps;Diarrhea,Duphalac;Lactugal,Disaccharide,Osmostic Laxative,false,Adjust dose to produce 2-3 soft stools;Take with water
Bisacodyl,5 mg,Once at night,Constipation,Abdominal cramps;Diarrhea;Electrolyte imbalance,Dulcolax;Laxadin,Diphenylmethane derivative,Stimulant Laxative,false,For short-term use only;Do not crush or chew tablet
Salbutamol Inhaler,100 mcg,As needed for wheezing,Asthma;Bronchospasm,Tremor;Headache;Palpitations,Ventolin;Asthalin,Short-acting beta-2 agonist,Bronchodilator,false,Not for frequent use;Overuse can be dangerous;Rinse mouth after use
Beclomethasone Inhaler,100 mcg,2 puffs 2 times daily,Asthma prevention,Oral thrush;Hoarseness of voice,Qvar;Becotide,Corticosteroid,Inhaled Corticosteroid,false,Rinse mouth after use to prevent thrush;Not for acute attacks
Montelukast,10 mg,Once at night,Asthma;Allergic rhinitis,Headache;Agitation;Sleep disorders,Singulair;Montek,Leukotriene receptor antagonist,Antiasthmatic,false,Monitor for mood changes;Not for acute asthma attacks
Cetirizine,10 mg,Once daily,Allergies;Hay fever;Urticaria,Drowsiness;Dry mouth;Headache,Zyrtec;Cetrizine,Piperazine derivative,Antihistamine,false,May cause drowsiness;Avoid alcohol;Caution when driving
Loratadine,10 mg,Once daily,Allergies;Hay fever;Urticaria,Headache;Dry mouth;Drowsiness,Claritine;Lorfast,Piperidine derivative,Antihistamine,false,Less sedating than older antihistamines;Take without food
Fexofenadine,120 mg,Once daily,Allergies;Hay fever;Urticaria,Headache;Nausea;Dizziness,Telfast;Allegra,Piperidine derivative,Antihistamine,false,Take without fruit juice;Less sedating
Fluoxetine,20 mg,Once daily,Depression;OCD;Panic disorder,Nausea;Headache;Insomnia;Sexual dysfunction,Prozac;Flutin,SSRI,Antidepressant,false,May increase suicidal thoughts in young adults;Do not stop abruptly
Sertraline,50 mg,Once daily,Depression;OCD;Panic disorder,Nausea;Diarrhea;Insomnia;Sexual dysfunction,Zoloft;Serlift,SSRI,Antidepressant,false,Take with food;Monitor for mood changes;Withdrawal symptoms on stoppage
Amitriptyline,25 mg,Once at night,Depression;Neuropathic pain;Migraine prevention,Dry mouth;Drowsiness;Constipation;Weight gain,Tryptizol;Elavil,Tricyclic antidepressant,Antidepressant,false,Overdose can be fatal;Caution in glaucoma;Drowsiness may occur
Diazepam,5 mg,2-3 times daily,Anxiety;Muscle spasm;Alcohol withdrawal,Drowsiness;Dizziness;Dependence;Confusion,Valium;Assival,Benzodiazepine,Anxiolytic;Sedative-Hypnotic,true,High risk of dependence;Avoid alcohol;Do not stop abruptly
Alprazolam,0.5 mg,2-3 times daily,Anxiety;Panic disorder,Drowsiness;Dizziness;Dependence;Withdrawal symptoms,Xanax;Alprox,Benzodiazepine,Anxiolytic,true,High abuse potential;Short-term use only;Severe withdrawal symptoms
Clonazepam,0.5 mg,2 times daily,Seizures;Panic disorder,Drowsiness;Dizziness;Dependence;Unsteadiness,Rivotril;Petril,Benzodiazepine,Anticonvulsant;Anxiolytic,true,Risk of dependence;Do not stop abruptly;Avoid alcohol
Levothyroxine,50 mcg,Once daily on empty stomach,Hypothyroidism,Palpitations;Weight loss;Insomnia,Eltroxin;Synthroid,Thyroid hormone,Thyroid Hormone,false,Take 30-60 mins before food;Do not take with calcium/iron
Warfarin,5 mg,Once daily,Blood clot prevention;Atrial fibrillation,Bleeding;Easy bruising;Hair loss,Coumadin;Marevan,Coumarin derivative,Anticoagulant,false,Requires regular blood (INR) monitoring;Many drug and food interactions
Clopidogrel,75 mg,Once daily,Prevention of heart attacks and strokes,Bleeding;Easy bruising;Rash,Plavix;Clopilet,Thienopyridine,Antiplatelet,false,Risk of bleeding;May need genetic testing for efficacy
Metoprolol,50 mg,2 times daily,High blood pressure;Angina;Heart failure,Slow heart rate;Fatigue;Cold hands and feet,Betaloc;Lopressor,Selective beta-1 blocker,Antihypertensive;Beta-blocker,false,Do not stop abruptly;Caution in asthma;Mask hypoglycemia symptoms
Propranolol,40 mg,2 times daily,High blood pressure;Migraine prevention;Anxiety,Slow heart rate;Fatigue;Cold hands and feet;Wheezing,Inderal;Stens,Non-selective beta blocker,Antihypertensive;Beta-blocker,false,Contraindicated in asthma;Do not stop abruptly
Spironolactone,25 mg,Once daily,Heart failure;High blood pressure;Edema,High potassium;Breast tenderness;Menstrual irregularities,Aldactone;Spirotone,Steroidal aldosterone antagonist,Potassium-sparing Diuretic,false,Monitor potassium levels;Can cause hyperkalemia;Avoid potassium supplements
Furosemide,40 mg,Once daily,Edema;Heart failure;High blood pressure,Low potassium;Dehydration;Dizziness,Lasix;Fruse,Loop diuretic,Diuretic,false,Monitor electrolytes;Can cause dehydration;Take in morning
Tramadol,50 mg,Every 4-6 hours,Moderate to severe pain,Nausea;Dizziness;Drowsiness;Seizures;Dependence,Tramal;Contramal,Opioid agonist,Analgesic,true,Risk of dependence and abuse;Avoid alcohol;Do not drive
Pregabalin,75 mg,2 times daily,Neuropathic pain;Anxiety;Fibromyalgia,Dizziness;Drowsiness;Weight gain;Blurred vision,Lyrica;Pregalin,Gamma-aminobutyric acid analogue,Anticonvulsant;Analgesic,false,Do not stop abruptly;May cause drowsiness;Risk of dependence
Gabapentin,300 mg,3 times daily,Neuropathic pain;Seizures,Dizziness;Drowsiness;Fatigue;Swelling,Neurontin;Gabatin,Gamma-aminobutyric acid analogue,Anticonvulsant;Analgesic,false,Do not stop abruptly;May cause drowsiness
Allopurinol,100 mg,Once daily,Gout;High uric acid,Skin rash;Nausea;Liver enzyme elevation,Zyloric;Alloprin,Xanthine oxidase inhibitor,Antigout,false,Drink plenty of fluids;May cause severe skin reaction;Start with low dose
Colchicine,0.5 mg,2 times daily (acute gout),Acute gout attacks;Familial Mediterranean fever,Diarrhea;Nausea;Vomiting;Bone marrow suppression,Colchicum;Colcryx,Colchicum alkaloid,Antigout,false,Do not exceed recommended dose;Risk of toxicity;Monitor for side effects
Methotrexate,10 mg,Once weekly,Rheumatoid arthritis;Psoriasis;Some cancers,Nausea;Mouth ulcers;Liver damage;Low blood counts,Trexall;Metject,Antimetabolite,DMARD,false,Requires regular blood monitoring;Take folic acid supplement;Avoid alcohol
Sulfasalazine,500 mg,2 times daily,Rheumatoid arthritis;Ulcerative colitis,Nausea;Headache;Loss of appetite;Orange urine,Salazopyrin;Azulfidine,Sulfonamide,DMARD;Anti-inflammatory,false,Drink plenty of water;May cause sun sensitivity;Monitor blood counts
Finasteride,5 mg,Once daily,Benign prostatic hyperplasia (BPH);Hair loss,Decreased libido;Erectile dysfunction;Breast tenderness,Proscar;Propecia,5-alpha-reductase inhibitor,Antiandrogen,false,Not for use in women;Pregnant women should not handle crushed tablets;Effects reversible on discontinuation
Tamsulosin,0.4 mg,Once daily,Benign prostatic hyperplasia (BPH),Dizziness;Retrograde ejaculation;Low blood pressure,Flomax;Urimax,Selective alpha-1 blocker,Alpha blocker,false,Can cause dizziness;Take after same meal each day;Not for hypertension
Sildenafil,50 mg,As needed (before activity),Erectile dysfunction,Headache;Flushing;Upset stomach;Visual changes,Viagra;Revatio,Phosphodiesterase type 5 inhibitor,Erectile Dysfunction Agent,false,Contraindicated with nitrates;Risk of priapism;Not for cardiovascular use
Tadalafil,10 mg,As needed (before activity),Erectile dysfunction;BPH,Headache;Indigestion;Back pain;Muscle aches,Cialis;Tadalis,Phosphodiesterase type 5 inhibitor,Erectile Dysfunction Agent,false,Contraindicated with nitrates;Longer duration of action
Dutasteride,0.5 mg,Once daily,Benign prostatic hyperplasia (BPH),Decreased libido;Erectile dysfunction;Breast enlargement,Avodart;Dutas,5-alpha-reductase inhibitor,Antiandrogen,false,Not for use in women;Pregnant women should not handle crushed tablets
Mebeverine,135 mg,3 times daily,Irritable bowel syndrome (IBS);Abdominal cramps,Nausea;Headache;Dizziness,Colofac;Duspatalin,Musculotropic antispasmodic,Antispasmodic,false,Take before meals;Not for glaucoma
Hyoscine Butylbromide,10 mg,3 times daily,Abdominal cramps;Irritable bowel syndrome,Dry mouth;Blurred vision;Difficulty urinating,Buscopan;Scopan,Anticholinergic,Antispasmodic,false,Contraindicated in glaucoma;Myasthenia gravis
Orlistat,120 mg,3 times daily with meals,Obesity;Weight management,Oily spotting;Flatulence;Fecal urgency;Fatty stools,Xenical;Alli,Gastrointestinal lipase inhibitor,Antiobesity,false,Follow a reduced-calorie, low-fat diet;Take a multivitamin
Metronidazole,500 mg,3 times daily,Parasitic infections;Anaerobic infections;Amebiasis,Nausea;Metallic taste;Dark urine;Disulfiram-like reaction,Flagyl;Entozole,Nitroimidazole antibiotic,Antibiotic;Antiprotozoal,false,Avoid alcohol during and after treatment;Can cause peripheral neuropathy
Tinidazole,500 mg,Once daily,Giardiasis;Amebiasis;Anaerobic infections,Nausea;Metallic taste;Vomiting;Dizziness,Fasigyn;Tindamax,Nitroimidazole antibiotic,Antibiotic;Antiprotozoal,false,Avoid alcohol during treatment;Take with food
Albendazole,400 mg,Once daily (may repeat),Threadworm;Roundworm;Hydatid disease,Abdominal pain;Nausea;Headache;Dizziness,Zentel;Albenza,Benzimidazole,Anthelmintic,false,May need repeated doses;Take with fatty meal for better absorption
Mebendazole,100 mg,Once (may repeat in 2 weeks),Threadworm;Roundworm;Hookworm,Abdominal pain;Diarrhea;Rarely liver enzyme elevation,Vermox;Antiox,Benzimidazole,Anthelmintic,false,Chewable tablet;May need to treat whole family
Ferrous Sulfate,325 mg,Once daily,Iron deficiency anemia,Constipation;Black stools;Upset stomach;Nausea,Fero-Grad;Ironorm,Iron Salt,Iron Supplement,false,Take on empty stomach for best absorption;May cause constipation;Can take with Vitamin C
Folic Acid,5 mg,Once daily,Folate deficiency;Prevention in pregnancy,None known,Folvite;Acidapin,Folate derivative,Vitamin Supplement,false,Important in pregnancy to prevent neural tube defects
Calcium Carbonate,500 mg,2-3 times daily,Calcium supplement;Antacid,Constipation;Gas;Belching,Caltrate;Tums,Calcium salt,Mineral Supplement;Antacid,false,May interfere with absorption of other drugs;Take separately
Vitamin D3,1000 IU,Once daily,Vitamin D deficiency;Bone health,Nausea;Constipation;Weakness,D-Cure;Vidrop,Secosteroid,Vitamin Supplement,false,Monitor levels in deficiency;Take with fatty meal for absorption
Multivitamin,1 tablet,Once daily,Nutritional supplementation,Allergic reactions;Upset stomach,Supradyn;Centrum,Vitamin and Mineral Combination,Vitamin Supplement,false,Not a substitute for a balanced diet
Prednisolone,5 mg,Dose varies by condition,Inflammation;Allergies;Autoimmune disorders,Increased appetite;Weight gain;Mood changes;High blood sugar,Cortancyl;Deltacortene,Corticosteroid,Corticosteroid,false,Do not stop abruptly;Take with food;Monitor blood sugar and blood pressure
Dexamethasone,0.5 mg,Dose varies by condition,Inflammation;Severe allergies;Nausea from chemotherapy,Increased appetite;Insomnia;Mood changes;High blood sugar,Decadron;Dexazone,Corticosteroid,Corticosteroid,false,Do not stop abruptly;Single morning dose to reduce insomnia
Betamethasone Dipropionate Cream,0.05%,Apply 1-2 times daily,Inflammatory skin conditions (eczema, psoriasis),Skin thinning;Stretch marks;Burning,Diprosone;Celestoderm,Corticosteroid,Topical Corticosteroid,false,Use sparingly;Do not use on face long-term;For external use only
Hydrocortisone Cream 1%,1%,Apply 2-3 times daily,Mild inflammatory skin conditions;Itching;Rashes,Mild skin irritation;Thinning with long-term use,Cortaid;Efcortelan,Corticosteroid,Topical Corticosteroid,false,For short-term use;Avoid on broken skin;For external use only
Clotrimazole Cream 1%,1%,Apply 2 times daily,Fungal skin infections (ringworm, athlete's foot),Mild burning;Itching;Redness,Canesten;Clocip,Imidazole antifungal,Topical Antifungal,false,Continue treatment for 2 weeks after symptoms disappear;Keep area clean and dry
Miconazole Nitrate Cream 2%,2%,Apply 2 times daily,Fungal skin infections;Vaginal candidiasis,Itching;Burning;Irritation,Daktarin;Micatin,Imidazole antifungal,Topical Antifungal,false,Complete full course;For external use only
Ketoconazole Shampoo 2%,2%,Use 2 times a week,Dandruff;Seborrheic dermatitis;Tinea versicolor,Hair loss (temporary);Dryness;Irritation,Nizoral;Ketzol,Imidazole antifungal,Antifungal Shampoo,false,Avoid contact with eyes;Leave on scalp for 3-5 minutes before rinsing
Salicylic Acid Ointment,3%,Apply 1-2 times daily,Warts;Psoriasis;Calluses,Skin irritation;Redness;Dryness,Salitop;Saliva,Keratolytic,Keratolytic,false,For external use only;Avoid on inflamed skin or open wounds
Benzoyl Peroxide Gel,5%,Apply once daily,Acne,Dryness;Redness;Peeling;Bleaching of fabric,Benzac;Acnederm,Organic peroxide,Anti-acne,false,Start with lower strength;May cause initial breakout;Sun sensitivity
Adapalene Gel,0.1%,Apply once at night,Acne,Skin dryness;Redness;Peeling;Irritation,Differin;Adaplex,Retinoid,Anti-acne,false,Use pea-sized amount;Avoid sun;Use sunscreen;Not for use in pregnancy
Erythromycin,250 mg,4 times daily,Bacterial infections;Acne,Nausea;Diarrhea;Abdominal pain,Erythrocin;Eryacne,Macrolide,Antibiotic,false,Take on empty stomach;Can cause GI upset;Monitor liver function
Clarithromycin,500 mg,2 times daily,Bacterial infections;H. pylori eradication,Nausea;Diarrhea;Metallic taste;Headache,Klaricid;Claribid,Macrolide,Antibiotic,false,Take with food;Many drug interactions;Monitor liver function
Levofloxacin,500 mg,Once daily,Respiratory infections;Urinary tract infections,Nausea;Diarrhea;Tendon rupture;Photosensitivity,Levoxin;Tavanic,Fluoroquinolone,Antibiotic,false,Avoid in children;Risk of tendon damage;Stay hydrated
Doxycycline,100 mg,2 times daily,Acne;Malaria prevention;Respiratory infections,Upset stomach;Photosensitivity;Tooth discoloration,Vibramycin;Doxylin,Tetracycline,Antibiotic,false,Take with food;Avoid dairy;Use sunscreen;Not in pregnancy
